Lemmikit;Uskonto;Ruoat;Kielet;Harrastukset;Lasten Omat Tavarat
kis sa;is lam;hum mus;ruot si;ju do;nin ten do
koi ra;kris tin us ko;pe ru na muu si;sak sa;pot ku pal lo;kon so li
mar su;hin du lai suus;si ni ho me juus to ;kii na;ken do;tie to ko ne
pa pu kai ja;ris ti;li ha pul la;viet nam;sa li ban dy;läp pä ri
pu pu;jee sus;ke bab;es pan ja;ka ra te;vi de o pe li
ka ni;mu ham med;jau he li ha;swa hi li;len to pal lo;pe li kor tit
ger bii li;budd ha lai suus;mu rot;a ra bi a;uin ti;pot ku lau ta
lem mik ki;ko raa ni;puu ro;suo mi;ge o kät köi ly;jal ka pal lo
he vo nen;mos kei ja;fa la fel;saa me;juok su;jää kiek ko mai la
po ni;kirk ko;o lii vi;por tu ga li;hiih to;peh mo le lu
hä mä häk ki;py hiin va el lus;see sa min sie me net;eng lan ti;rul la luis te lu ;nuk ke
a pi na;hi jab;kik her neet;ve nä jä;lu mi lau tai lu;fi guu ri
ka la;raa mat tu;nuu de lit;ja pa ni;par kour;kän nyk kä
käär me;pa ka na;pi ta lei pä;hin di;piir tä mi nen;ju lis te
mi ni pos su;a teis mi;ta hi ni;i ta li a;lau la mi nen;tab let ti
hams te ri;ag nos tik ko;mäm mi;far si;mu siik ki;kuu lok keet
le o par di gek ko;ju ma la;to fu;nor ja;vi de o pe lit;kir ja
sii li;y lös nou se mus;sus hi;tans ka;šak ki;pyyh käi sy e lekt ro ni mik ro skoop pi
kil pi kon na;pää si äi nen;spa get ti;vi ro;lau ta pe lit;tyhjä
ke sy hil le ri;jou lu;ham pu ri lai nen;so ma li;pyö räi ly;tyhjä
rot ta;juu ta lai suus;rans ka lai set;af ri kaan si;luis te lu;tyhjä
un du laat ti;ad vent ti;ba naa ni;fi li pi no;jal ka pal lo;tyhjä
ka na ri an lin tu;ki pa;he del mä;man da rii ni kii na;show pai ni;tyhjä
i gu a na;me di taa ti o;vi han nes;bang la;ta ek won do;tyhjä
tyhjä;sy na go ga;pit sa;in do ne si a;pot ku lau tai lu;tyhjä
tyhjä;kung fut se;ma ka ro ni laa tik ko;turk ki;rul la lau tai lu;tyhjä
tyhjä;kung fut se lai suus;bo log ne se kas ti ke;ko re a;ken dō;tyhjä
tyhjä;per jan tai ru ko us;sam buu si;viit to ma kie li;tyhjä;tyhjä
tyhjä;mus li mi;hal va;tyhjä;tyhjä;tyhjä
tyhjä;temp pe li;tyhjä;tyhjä;tyhjä;tyhjä
tyhjä;pa ho lai nen;tyhjä;tyhjä;tyhjä;tyhjä
tyhjä;en ke li;tyhjä;tyhjä;tyhjä;tyhjä
tyhjä;de mo ni;tyhjä;tyhjä;tyhjä;tyhjä
